KPI,Unit,Min,Max
flng_315a,flng_315,MB,0,
flng_316a,flng_316,MB,0,
flng_317a,flng_317,MB,0,
flng_318a,flng_318,MB,0,
flng_319a,flng_319,MB,0,
flng_320a,flng_320,MB,0,
flng_321a,flng_321,MB,0,
flng_322a,flng_322,MB,0,
flng_323a,flng_323,MB,0,
flng_324a,flng_324,MB,0,
flng_325a,flng_325,MB,0,
flng_326a,flng_326,MB,0,
flng_327a,flng_327,MB,0,
flng_328a,flng_328,MB,0,
flng_329a,flng_329,MB,0,
flng_330a,flng_330,MB,0,
flng_331a,flng_331,#,0,
flng_331b,flng_331,#,0,
flng_332a,flng_332,#,0,
flng_332b,flng_332,#,0,
flng_333a,flng_333,#,0,
flng_333b,flng_333,#,0,
flng_334a,flng_334,#,0,
flng_334b,flng_334,#,0,
flng_335a,flng_335,#,0,
flng_335b,flng_335,#,0,
flng_336a,flng_336,#,0,
flng_336b,flng_336,#,0,
flng_337a,flng_337,%,0,100
flng_338a,flng_338,%,0,100
flng_339a,flng_339,%,0,100
flng_340a,flng_340,%,0,100
flng_341a,flng_341,%,0,100
flng_342a,flng_342,%,0,100
flng_343a,flng_343,%,0,100
flng_344a,flng_344,#,0,
flng_345a,flng_345,%,0,100
flng_346a,flng_346,#,0,
flng_347a,flng_347,#,0,
flng_348a,flng_348,%,0,100
flng_349a,flng_349,#,0,
flng_350a,flng_350,%,0,100
flng_351a,flng_351,#,0,
flng_352a,flng_352,%,0,100
flng_353a,flng_353,#,0,
flng_354a,flng_354,%,0,100
flng_355a,flng_355,#,0,
flng_356a,flng_356,%,0,100
flng_357a,flng_357,#,0,
flng_358a,flng_358,%,0,100
flng_359a,flng_359,#,0,
flng_360a,flng_360,%,0,100
flng_361a,flng_361,Mb/s,0,
flng_362a,flng_362,Mb/s,0,
flng_363a,flng_363,Mb/s,0,
flng_364a,flng_364,Mb/s,0,
flng_365a,flng_365,Mb/s,0,
flng_366a,flng_366,Mb/s,0,
flng_367a,flng_367,Mb/s,0,
