KPI,Unit
flng_920a,%
flng_921a,#
flng_922a,%
flng_923a,#
flng_924a,%
flng_925a,#
flng_926a,%
flng_927a,#
flng_928a,#
flng_929a,#
flng_930a,MB
flng_931a,MB
flng_932a,MB
flng_933a,Mbps
flng_934a,Mbps
flng_935a,Mbps
flng_936a,#
flng_937a,#
flng_938a,#
flng_939a,MB
flng_940a,MB
flng_941a,MB
flng_942a,Mbps
flng_943a,Mbps
flng_944a,Mbps
flng_945a,#
flng_946a,#
flng_947a,#
flng_948a,MB
flng_949a,MB
flng_950a,MB
flng_951a,Mbps
flng_952a,Mbps
flng_953a,Mbps
flng_954a,%
flng_955a,%
flng_956a,%
flng_957a,%
flng_958a,%
flng_959a,%
flng_960a,%
flng_961a,#
flng_962a,%
flng_963a,%
flng_964a,%
flng_965a,%
flng_966a,%
flng_967a,%
flng_968a,%
flng_969a,%
flng_970a,%
flng_971a,%
flng_972a,%
flng_973a,%
flng_974a,#/bearer/h
flng_974b,#/bearer/h
flng_974c,#/bearer/h
flng_974d,#/bearer/h
flng_974e,#/bearer/h
flng_974f,#/bearer/h
flng_974g,#/bearer/h
flng_974h,#/bearer/h
flng_974i,#/bearer/h
flng_975a,#/bearer/h
flng_975b,#/bearer/h
flng_975c,#/bearer/h
flng_975d,#/bearer/h
flng_976a,#/bearer/h
flng_976b,#/bearer/h
flng_977a,#/bearer/h
flng_977b,#/bearer/h
flng_977c,#/bearer/h
flng_977d,#/bearer/h
flng_978a,#/bearer/h
flng_978b,#/bearer/h
flng_978c,#/bearer/h
flng_978d,#/bearer/h
flng_979a,#/bearer/h
flng_979b,#/bearer/h
flng_979c,#/bearer/h
flng_979d,#/bearer/h
flng_979e,#/bearer/h
flng_979f,#/bearer/h
flng_979g,#/bearer/h
flng_979h,#/bearer/h
flng_979i,#/bearer/h
flng_979j,#/bearer/h
flng_979k,#/bearer/h
flng_980a,%
flng_981a,%
flng_982a,%
flng_983a,%
flng_984a,%
flng_985a,%
flng_986a,%
flng_987a,#/s
flng_987b,#/s
flng_988a,#/bearer/h
flng_988b,#/bearer/h
flng_988c,#/bearer/h
flng_989a,#/s
flng_989b,#/s
flng_990a,#/bearer/h
flng_990b,#/bearer/h
flng_990c,#/bearer/h
flng_990d,#/bearer/h
flng_991a,#/s
flng_991b,#/s
flng_992a,#/bearer/h
flng_992b,#/bearer/h
flng_993a,#/s
flng_994a,#/bearer/h
flng_994b,#/bearer/h
flng_995a,#/s
flng_996a,#/bearer/h
flng_996b,#/bearer/h
flng_997a,#/s
flng_997b,#/s
flng_997c,#/s
flng_997d,#/s
flng_998a,#/bearer/h
flng_998b,#/bearer/h
flng_998c,#/bearer/h
flng_998d,#/bearer/h
flng_999a,%
flng_1000a,%
flng_1001a,%
flng_1002a,%
flng_1003a,#
flng_1004a,#
flng_1005a,#
flng_1006a,%
flng_1007a,%
flng_1008a,%
flng_1009a,%
flng_1010a,#
flng_1011a,%
flng_1012a,%
flng_1013a,#
flng_1014a,%
flng_1015a,#
flng_1016a,#
flng_1017a,#
flng_1017b,#
flng_1018a,#
flng_1019a,%
flng_1020a,#
flng_1021a,%
flng_1022a,#
flng_1023a,%
flng_1024a,#
flng_1025a,%
flng_1026a,#
flng_1027a,%
flng_1028a,#
flng_1029a,%
flng_1030a,#
flng_1031a,#
flng_1032a,#
flng_1033a,#
flng_1034a,#
flng_1035a,#
flng_1036a,#
flng_1037a,%
flng_1038a,#
flng_1039a,%
flng_1040a,#
flng_1041a,%
flng_1042a,#
flng_1043a,%
flng_1044a,#
flng_1044b,#
flng_1045a,%
flng_1045b,%
flng_1046a,#
flng_1046b,#
flng_1047a,%
flng_1047b,%
flng_1048a,#
flng_1048b,#
flng_1049a,%
flng_1049b,%
flng_1050a,#
flng_1050b,#
flng_1051a,#
flng_1051b,#
flng_1052a,#/s
flng_1052b,#/s
flng_1053a,#/bearer/h
flng_1053b,#/bearer/h
flng_1054a,pps
flng_1054b,pps
flng_1055a,pps
flng_1056a,pps
flng_1057a,pps
flng_1058a,#
flng_1059a,%
flng_1060a,#
flng_1061a,%
flng_1062a,%
flng_1063a,#
flng_1064a,%
flng_1065a,%
flng_1066a,%
flng_1067a,MB
flng_1068a,MB
flng_1069a,MB
flng_1070a,MB
flng_1071a,Mbps
flng_1072a,Mbps
flng_5034a,Mbps
